"slug","class","function","slide_ref","scene_deck","codex_build","status","live_url","notes"
"tm9035-va-scene6-subgroups","visual-abstract","Visual abstract - subgroups scene","","n/a","tm9035-va-scene6-subgroups-2026-08-05-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-va-scene6-subgroups/",""
"tm9035-va-summary","visual-abstract","Visual abstract - summary scene","","n/a","","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-va-summary/",""
"tm9035-va-deck-ffw","variant","FFW variant - VISION visual abstract deck","","n/a","tm9035-va-deck-ffw-2026-08-05-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-va-deck-ffw/","brand variant; was missing from the register until 2026-07-29"
"tm9035-va-deck-tiro","variant","TIRO variant - VISION visual abstract deck","","n/a","tm9035-va-deck-tiro-2026-08-05-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-va-deck-tiro/","brand variant; was missing from the register until 2026-07-29"
"tm9035-va-scenes","variant","Per-scene embeds (review gallery)","","n/a","","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-va-scenes/","2KB index - gallery of embeds"
"tm9035-ooi-slide-6","redirect-stub","(old slug - redirects to tm9035-introduction-to-metex14-ooi-slide-6)","6","n/a","n/a","retain","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-ooi-slide-6/","do not delete - older Visme embeds may still point here"
"tm9035-ooi-slide-15","redirect-stub","(old slug - redirects to tm9035-orr-knowledge-check-slide-15)","15","n/a","n/a","retain","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-ooi-slide-15/","do not delete"
"tm9035-ooi-slide-31","redirect-stub","(old slug - redirects to tm9035-hrqol-knowledge-check-slide-31)","31","n/a","n/a","retain","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-ooi-slide-31/","do not delete"
"tm9035-ooi-slide-34","redirect-stub","(old slug - redirects to tm9035-detection-method-knowledge-check-slide-34)","34","n/a","n/a","retain","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-ooi-slide-34/","do not delete"
"tm9035-ooi-slide-51","redirect-stub","(old slug - redirects to tm9035-subsequent-treatment-knowledge-check-slide-47)","51","n/a","n/a","retain","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-ooi-slide-51/","do not delete"
"tm9035-ooi-slide-66","redirect-stub","(old slug - redirects to tm9035-asian-efficacy-knowledge-check-slide-66)","66","n/a","n/a","retain","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-ooi-slide-66/","do not delete"
"tm9035-summary-and-reflection-slide-69-mobiletest","reference-impl","Mobile/Visme pattern reference implementation","69","n/a","n/a","retain-legacy","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-summary-and-reflection-slide-69-mobiletest/","DO NOT DELETE - this is the spec for MOBILE-VISME-HANDOVER"
